tag_id,tag_column_name,comment,language_id
fusion,analysis_tag,form exhibits fusion (morphophonology) in (at least) one of the morphemes,komkhoirentak
mult_exponence,analysis_tag,form has one category marked multiple times (multiple exponence),komkhoirentak
optional_future,overabundance_tag,form does not contain a marker for future tense (that is there in other forms with the same scenario),komkhoirentak
optional_plural,overabundance_tag,form does not contain a marker for plural (that is there in other forms with the same scenario),komkhoirentak
dialect_var,variants_tag,form is from other dialect,komkhoirentak
formal,variants_tag,form is used in formal contexts,komkhoirentak
informal,variants_tag,form is informal/colloquial,komkhoirentak
unspecified,variants_tag,form is not used in special contexts,komkhoirentak
