form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak233,hmu,3.pl.1.pl.incl.nfut.neg,ei-hmu-mak-hei,ei-Σ-mak-hei,ei+Σ+mak+hei,ei Σ m a k h ei,ei + Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak234,hmu,3.pl.1.pl.incl.nfut.neg,ani-hmu-mak-hei,ani-Σ-mak-hei,a+ni+Σ+mak+hei,a n i Σ m a k h ei,a + n i + Σ + m a k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak235,hmu,3.sg.2.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak236,hmu,3.sg.2.pl.nfut.neg,hmu-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak237,hmu,3.pl.2.sg.nfut.neg,hmu-mak-hei-che,Σ-mak-hei-che,Σ+mak+hei+che,Σ m a k h ei tʃ e,Σ + m a k + h ei + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak238,hmu,3.pl.2.sg.nfut.neg,hmu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,optional_plural,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak239,hmu,3.pl.2.pl.nfut.neg,hmu-mak-hei-chui,Σ-mak-hei-chui,Σ+mak+hei+chui,Σ m a k h ei tʃ ui,Σ + m a k + h ei + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak240,hmu,3.pl.2.pl.nfut.neg,hmu-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,optional_plural,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak241,hmu,3.sg.3.sg.nfut.neg,hmu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak242,hmu,3.sg.3.pl.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak243,hmu,3.pl.3.sg.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak244,hmu,3.pl.3.pl.nfut.neg,hmu-mak-hei,Σ-mak-hei,Σ+mak+hei,Σ m a k h ei,Σ + m a k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
