form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak155,hmu,2.pl.1.pl.excl.nfut.aff,nan-hmu-ung,nan-Σ-ung,na+n+Σ+ung,n a n Σ u ŋ,n a + n + Σ + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak156,hmu,2.pl.1.pl.excl.nfut.aff,nanni-hmu,nanni-Σ,na+ni+Σ,n a n i Σ,n a + n i + Σ,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak157,hmu,2.sg.3.sg.nfut.aff,na-hmu,na-Σ,na+Σ,n a Σ,n a + Σ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak158,hmu,2.sg.3.pl.nfut.aff,na-hmu-hei,na-Σ-hei,na+Σ+hei,n a Σ h ei,n a + Σ + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak159,hmu,2.pl.3.sg.nfut.aff,nan-hmu,nan-Σ,na+n+Σ,n a n Σ,n a + n + Σ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak160,hmu,2.pl.3.pl.nfut.aff,nan-hmu-hei,nan-Σ-hei,na+n+Σ+hei,n a n Σ h ei,n a + n + Σ + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak161,se,3.sg.nfut.aff,ka-se,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak162,se,3.pl.nfut.aff,ka-se-hei,ka-Σ-hei,ka+Σ+hei,k a Σ h ei,k a + Σ + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak163,hmu,3.sg.1.sg.nfut.aff,a-hmu-eng,a-Σ-eng,a+Σ+eng,a Σ e ŋ,a + Σ + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak164,hmu,3.sg.1.pl.excl.nfut.aff,a-hmu-ung,a-Σ-ung,a+Σ+ung,a Σ u ŋ,a + Σ + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak165,hmu,3.sg.1.pl.excl.nfut.aff,ani-hmu,ani-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak166,hmu,3.sg.1.pl.incl.nfut.aff,ei-hmu-me,ei-Σ-me,ei+Σ+me,ei Σ m e,ei + Σ + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak167,hmu,3.sg.1.pl.incl.nfut.aff,a-hmu-me,a-Σ-me,a+Σ+me,a Σ m e,a + Σ + m e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak168,hmu,3.pl.1.sg.nfut.aff,an-hmu-eng,an-Σ-eng,a+n+Σ+eng,a n Σ e ŋ,a + n + Σ + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak169,hmu,3.pl.1.sg.nfut.aff,ani-hmu,ani-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak170,hmu,3.pl.1.pl.excl.nfut.aff,an-hmu-ung,an-Σ-ung,a+n+Σ+ung,a n Σ u ŋ,a + n + Σ + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak171,hmu,3.pl.1.pl.excl.nfut.aff,ani-hmu,ani-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak172,hmu,3.pl.1.pl.incl.nfut.aff,an-hmu-me,an-Σ-me,a+n+Σ+me,a n Σ m e,a + n + Σ + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak173,hmu,3.pl.1.pl.incl.nfut.aff,ani-hmu,ani-Σ,a+ni+Σ,a n i Σ,a + n i + Σ,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak174,hmu,3.sg.2.sg.nfut.aff,a-hmu-che,a-Σ-che,a+Σ+che,a Σ tʃ e,a + Σ + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak175,hmu,3.sg.2.pl.nfut.aff,a-hmu-chui,a-Σ-chui,a+Σ+chui,a Σ tʃ ui,a + Σ + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
