grapheme_id,language_id
-,komkhoirentak
a,komkhoirentak
ch,komkhoirentak
e,komkhoirentak
ei,komkhoirentak
h,komkhoirentak
hm,komkhoirentak
i,komkhoirentak
k,komkhoirentak
m,komkhoirentak
n,komkhoirentak
ng,komkhoirentak
s,komkhoirentak
t,komkhoirentak
u,komkhoirentak
ui,komkhoirentak
Σ,komkhoirentak
